Channel Title,Channel Link,sample_count,has_min_10_videos,pct_under_3min,error
The Philip DeFranco Show,https://www.youtube.com/@PhilipDeFranco,20,True,0.0,
The Game Theorists,https://www.youtube.com/@GameTheory,20,True,0.0,
The Plain Bagel,https://www.youtube.com/@theplainbagel,20,True,0.0,
Daily Stoic,https://www.youtube.com/@DailyStoic,20,True,0.0,
CinemaSins,https://www.youtube.com/@cinemasins,20,True,0.0,
Jenny Nicholson,https://www.youtube.com/@JennyNicholson,20,True,5.0,
Michelle Khare,https://www.youtube.com/@michellekhare,20,True,0.0,
History Matters,https://www.youtube.com/@HistoryMatters,20,True,0.0,
Wisecrack,https://www.youtube.com/@WisecrackEDU,20,True,0.0,
Linus Tech Tips,https://www.youtube.com/@LinusTechTips,20,True,0.0,
Think Fast Talk Smart,https://www.youtube.com/@ThinkFastTalkSmart,20,True,0.0,
Baba Ram Dass,https://www.youtube.com/@BabaRamDassChannel,20,True,10.0,
Fluent Forever,https://www.youtube.com/@FluentForeverApp,20,True,60.0,
Sam Collins,https://www.youtube.com/@supraman38,20,True,0.0,
